




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
transmission of nerve impulse (GO:0019226)	23	1	.55	+	1.83	4.31E-01	1.00E00
anatomical structure maturation (GO:0071695)	46	2	1.09	+	1.83	3.07E-01	1.00E00
convergent extension involved in gastrulation (GO:0060027)	69	3	1.64	+	1.83	2.34E-01	1.00E00
mitotic DNA integrity checkpoint (GO:0044774)	23	1	.55	+	1.83	4.31E-01	1.00E00
regulation of nuclear division (GO:0051783)	46	2	1.09	+	1.83	3.07E-01	1.00E00
neuromast primordium migration (GO:0048883)	23	1	.55	+	1.83	4.31E-01	1.00E00
regulation of ossification (GO:0030278)	23	1	.55	+	1.83	4.31E-01	1.00E00
skeletal muscle fiber development (GO:0048741)	46	2	1.09	+	1.83	3.07E-01	1.00E00
myotube cell development (GO:0014904)	46	2	1.09	+	1.83	3.07E-01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	69	3	1.64	+	1.83	2.34E-01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	46	2	1.09	+	1.83	3.07E-01	1.00E00
defense response to Gram-positive bacterium (GO:0050830)	23	1	.55	+	1.83	4.31E-01	1.00E00
actin cytoskeleton reorganization (GO:0031532)	23	1	.55	+	1.83	4.31E-01	1.00E00
negative regulation of vasculature development (GO:1901343)	23	1	.55	+	1.83	4.31E-01	1.00E00
cGMP metabolic process (GO:0046068)	23	1	.55	+	1.83	4.31E-01	1.00E00
negative regulation of biological process (GO:0048519)	1796	78	42.67	+	1.83	5.28E-07	3.98E-05
cell surface receptor signaling pathway (GO:0007166)	1042	45	24.76	+	1.82	1.79E-04	9.42E-03
mRNA splicing, via spliceosome (GO:0000398)	139	6	3.30	+	1.82	1.55E-01	1.00E00
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	139	6	3.30	+	1.82	1.55E-01	1.00E00
RNA splicing, via transesterification reactions (GO:0000375)	139	6	3.30	+	1.82	1.55E-01	1.00E00
negative regulation of cellular protein metabolic process (GO:0032269)	186	8	4.42	+	1.81	9.38E-02	1.00E00
meiotic cell cycle process (GO:1903046)	70	3	1.66	+	1.80	2.40E-01	1.00E00
regulation of cellular component size (GO:0032535)	210	9	4.99	+	1.80	1.06E-01	1.00E00
cell-substrate adhesion (GO:0031589)	70	3	1.66	+	1.80	2.40E-01	1.00E00
tissue morphogenesis (GO:0048729)	492	21	11.69	+	1.80	1.12E-02	3.18E-01
canonical Wnt signaling pathway (GO:0060070)	47	2	1.12	+	1.79	3.15E-01	1.00E00
negative regulation of cellular response to growth factor stimulus (GO:0090288)	47	2	1.12	+	1.79	3.15E-01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	141	6	3.35	+	1.79	1.59E-01	1.00E00
negative regulation of cellular amide metabolic process (GO:0034249)	47	2	1.12	+	1.79	3.15E-01	1.00E00
embryonic organ development (GO:0048568)	495	21	11.76	+	1.79	1.65E-02	4.17E-01
animal organ morphogenesis (GO:0009887)	685	29	16.28	+	1.78	3.47E-03	1.27E-01
mechanosensory lateral line system development (GO:0048881)	71	3	1.69	+	1.78	2.46E-01	1.00E00
embryonic viscerocranium morphogenesis (GO:0048703)	95	4	2.26	+	1.77	2.96E-01	1.00E00
negative regulation of protein metabolic process (GO:0051248)	190	8	4.51	+	1.77	1.45E-01	1.00E00
cytoskeleton organization (GO:0007010)	737	31	17.51	+	1.77	3.11E-03	1.17E-01
mRNA metabolic process (GO:0016071)	310	13	7.37	+	1.76	5.83E-02	8.67E-01
movement of cell or subcellular component (GO:0006928)	883	37	20.98	+	1.76	1.13E-03	4.77E-02
cranial skeletal system development (GO:1904888)	191	8	4.54	+	1.76	1.46E-01	1.00E00
response to heat (GO:0009408)	24	1	.57	+	1.75	4.44E-01	1.00E00
liver development (GO:0001889)	120	5	2.85	+	1.75	2.19E-01	1.00E00
regulation of protein localization to membrane (GO:1905475)	24	1	.57	+	1.75	4.44E-01	1.00E00
endoplasmic reticulum organization (GO:0007029)	24	1	.57	+	1.75	4.44E-01	1.00E00
microtubule-based process (GO:0007017)	408	17	9.69	+	1.75	3.20E-02	6.57E-01
peptidyl-tyrosine autophosphorylation (GO:0038083)	24	1	.57	+	1.75	4.44E-01	1.00E00
regulation of cellular ketone metabolic process (GO:0010565)	24	1	.57	+	1.75	4.44E-01	1.00E00
pigment cell differentiation (GO:0050931)	48	2	1.14	+	1.75	3.24E-01	1.00E00
glycosyl compound biosynthetic process (GO:1901659)	24	1	.57	+	1.75	4.44E-01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	48	2	1.14	+	1.75	3.24E-01	1.00E00
engulfment of apoptotic cell (GO:0043652)	24	1	.57	+	1.75	4.44E-01	1.00E00
endothelial cell migration (GO:0043542)	24	1	.57	+	1.75	4.44E-01	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	216	9	5.13	+	1.75	1.12E-01	1.00E00
regulation of cellular process (GO:0050794)	7076	293	168.13	+	1.74	1.47E-27	4.86E-25
positive regulation of transport (GO:0051050)	97	4	2.30	+	1.74	3.01E-01	1.00E00
nucleobase-containing compound transport (GO:0015931)	73	3	1.73	+	1.73	2.59E-01	1.00E00
protein dephosphorylation (GO:0006470)	146	6	3.47	+	1.73	1.71E-01	1.00E00
formation of primary germ layer (GO:0001704)	49	2	1.16	+	1.72	3.32E-01	1.00E00
negative regulation of chromosome organization (GO:2001251)	49	2	1.16	+	1.72	3.32E-01	1.00E00
glutamine family amino acid metabolic process (GO:0009064)	49	2	1.16	+	1.72	3.32E-01	1.00E00
inositol phosphate metabolic process (GO:0043647)	49	2	1.16	+	1.72	3.32E-01	1.00E00
pigmentation (GO:0043473)	123	5	2.92	+	1.71	2.26E-01	1.00E00
regulation of metal ion transport (GO:0010959)	74	3	1.76	+	1.71	2.65E-01	1.00E00
embryonic organ morphogenesis (GO:0048562)	346	14	8.22	+	1.70	5.21E-02	8.10E-01
regulation of phosphorylation (GO:0042325)	495	20	11.76	+	1.70	2.50E-02	5.64E-01
regulation of cell migration (GO:0030334)	198	8	4.70	+	1.70	1.54E-01	1.00E00
hepaticobiliary system development (GO:0061008)	124	5	2.95	+	1.70	2.29E-01	1.00E00
primitive hemopoiesis (GO:0060215)	50	2	1.19	+	1.68	3.41E-01	1.00E00
glutamate receptor signaling pathway (GO:0007215)	25	1	.59	+	1.68	4.57E-01	1.00E00
protein targeting to vacuole (GO:0006623)	25	1	.59	+	1.68	4.57E-01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	25	1	.59	+	1.68	4.57E-01	1.00E00
very long-chain fatty acid metabolic process (GO:0000038)	25	1	.59	+	1.68	4.57E-01	1.00E00
fin morphogenesis (GO:0033334)	50	2	1.19	+	1.68	3.41E-01	1.00E00
regulation of DNA-templated transcription, elongation (GO:0032784)	25	1	.59	+	1.68	4.57E-01	1.00E00
aromatic amino acid family metabolic process (GO:0009072)	25	1	.59	+	1.68	4.57E-01	1.00E00
actin filament capping (GO:0051693)	25	1	.59	+	1.68	4.57E-01	1.00E00
heparan sulfate proteoglycan metabolic process (GO:0030201)	25	1	.59	+	1.68	4.57E-01	1.00E00
regulation of chromatin organization (GO:1902275)	75	3	1.78	+	1.68	4.31E-01	1.00E00
protein transport along microtubule (GO:0098840)	25	1	.59	+	1.68	4.57E-01	1.00E00
digestion (GO:0007586)	25	1	.59	+	1.68	4.57E-01	1.00E00
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	25	1	.59	+	1.68	4.57E-01	1.00E00
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	25	1	.59	+	1.68	4.57E-01	1.00E00
microtubule-based protein transport (GO:0099118)	25	1	.59	+	1.68	4.57E-01	1.00E00
regulation of small GTPase mediated signal transduction (GO:0051056)	200	8	4.75	+	1.68	1.57E-01	1.00E00
embryonic skeletal system development (GO:0048706)	176	7	4.18	+	1.67	2.07E-01	1.00E00
cell cycle process (GO:0022402)	378	15	8.98	+	1.67	6.00E-02	8.82E-01
regulation of biological process (GO:0050789)	7515	298	178.56	+	1.67	6.34E-25	1.88E-22
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	177	7	4.21	+	1.66	2.08E-01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	51	2	1.21	+	1.65	3.49E-01	1.00E00
actin filament organization (GO:0007015)	204	8	4.85	+	1.65	1.63E-01	1.00E00
tissue regeneration (GO:0042246)	102	4	2.42	+	1.65	3.15E-01	1.00E00
sulfur compound biosynthetic process (GO:0044272)	51	2	1.21	+	1.65	3.49E-01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	154	6	3.66	+	1.64	2.80E-01	1.00E00
apoptotic signaling pathway (GO:0097190)	77	3	1.83	+	1.64	4.36E-01	1.00E00
regulation of Ras protein signal transduction (GO:0046578)	180	7	4.28	+	1.64	2.13E-01	1.00E00
wound healing (GO:0042060)	180	7	4.28	+	1.64	2.13E-01	1.00E00
actin cytoskeleton organization (GO:0030036)	414	16	9.84	+	1.63	7.18E-02	9.28E-01
negative regulation of actin filament depolymerization (GO:0030835)	26	1	.62	+	1.62	4.70E-01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	26	1	.62	+	1.62	4.70E-01	1.00E00
negative regulation of ion transport (GO:0043271)	26	1	.62	+	1.62	4.70E-01	1.00E00
epithelial to mesenchymal transition (GO:0001837)	26	1	.62	+	1.62	4.70E-01	1.00E00
fin development (GO:0033333)	78	3	1.85	+	1.62	4.39E-01	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	26	1	.62	+	1.62	4.70E-01	1.00E00
cellular metabolic compound salvage (GO:0043094)	26	1	.62	+	1.62	4.70E-01	1.00E00
cellular amino acid biosynthetic process (GO:0008652)	52	2	1.24	+	1.62	3.58E-01	1.00E00
glycogen metabolic process (GO:0005977)	26	1	.62	+	1.62	4.70E-01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	26	1	.62	+	1.62	4.70E-01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	26	1	.62	+	1.62	4.70E-01	1.00E00
kidney morphogenesis (GO:0060993)	26	1	.62	+	1.62	4.70E-01	1.00E00
heme metabolic process (GO:0042168)	26	1	.62	+	1.62	4.70E-01	1.00E00
cellular glucan metabolic process (GO:0006073)	26	1	.62	+	1.62	4.70E-01	1.00E00
receptor localization to synapse (GO:0097120)	26	1	.62	+	1.62	4.70E-01	1.00E00
enteric nervous system development (GO:0048484)	26	1	.62	+	1.62	4.70E-01	1.00E00
postsynapse organization (GO:0099173)	26	1	.62	+	1.62	4.70E-01	1.00E00
glucan metabolic process (GO:0044042)	26	1	.62	+	1.62	4.70E-01	1.00E00
plasma membrane phospholipid scrambling (GO:0017121)	26	1	.62	+	1.62	4.70E-01	1.00E00
regulation of cellular component movement (GO:0051270)	235	9	5.58	+	1.61	1.92E-01	1.00E00
mesenchyme development (GO:0060485)	184	7	4.37	+	1.60	2.19E-01	1.00E00
regulation of phosphate metabolic process (GO:0019220)	526	20	12.50	+	1.60	4.29E-02	8.01E-01
regulation of phosphorus metabolic process (GO:0051174)	526	20	12.50	+	1.60	4.29E-02	7.99E-01
regulation of locomotion (GO:0040012)	237	9	5.63	+	1.60	1.94E-01	1.00E00
Rho protein signal transduction (GO:0007266)	79	3	1.88	+	1.60	4.42E-01	1.00E00
positive regulation of supramolecular fiber organization (GO:1902905)	79	3	1.88	+	1.60	4.42E-01	1.00E00
regulation of secretion by cell (GO:1903530)	158	6	3.75	+	1.60	2.86E-01	1.00E00
appendage morphogenesis (GO:0035107)	53	2	1.26	+	1.59	3.66E-01	1.00E00
biological regulation (GO:0065007)	8169	307	194.10	+	1.58	4.23E-22	1.14E-19
actin filament-based process (GO:0030029)	426	16	10.12	+	1.58	7.71E-02	9.84E-01
response to metal ion (GO:0010038)	80	3	1.90	+	1.58	4.45E-01	1.00E00
regulation of anatomical structure size (GO:0090066)	267	10	6.34	+	1.58	1.56E-01	1.00E00
cartilage development (GO:0051216)	134	5	3.18	+	1.57	2.60E-01	1.00E00
regulation of cell motility (GO:2000145)	215	8	5.11	+	1.57	1.82E-01	1.00E00
cellular component organization (GO:0016043)	2957	110	70.26	+	1.57	2.44E-06	1.65E-04
protein localization to cell periphery (GO:1990778)	81	3	1.92	+	1.56	4.48E-01	1.00E00
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	27	1	.64	+	1.56	4.82E-01	1.00E00
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	27	1	.64	+	1.56	4.82E-01	1.00E00
glomerular visceral epithelial cell differentiation (GO:0072112)	27	1	.64	+	1.56	4.82E-01	1.00E00
glomerular epithelium development (GO:0072010)	27	1	.64	+	1.56	4.82E-01	1.00E00
protein localization to synapse (GO:0035418)	27	1	.64	+	1.56	4.82E-01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	27	1	.64	+	1.56	4.82E-01	1.00E00
nucleoside metabolic process (GO:0009116)	54	2	1.28	+	1.56	3.74E-01	1.00E00
transcription by RNA polymerase III (GO:0006383)	27	1	.64	+	1.56	4.82E-01	1.00E00
myeloid cell development (GO:0061515)	54	2	1.28	+	1.56	3.74E-01	1.00E00
base-excision repair (GO:0006284)	27	1	.64	+	1.56	4.82E-01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	27	1	.64	+	1.56	4.82E-01	1.00E00
renal filtration cell differentiation (GO:0061318)	27	1	.64	+	1.56	4.82E-01	1.00E00
regulation of sodium ion transmembrane transport (GO:1902305)	27	1	.64	+	1.56	4.82E-01	1.00E00
cardiocyte differentiation (GO:0035051)	54	2	1.28	+	1.56	3.74E-01	1.00E00
anterior/posterior axis specification (GO:0009948)	27	1	.64	+	1.56	4.82E-01	1.00E00
nucleoside bisphosphate biosynthetic process (GO:0033866)	27	1	.64	+	1.56	4.82E-01	1.00E00
positive regulation of DNA metabolic process (GO:0051054)	27	1	.64	+	1.56	4.82E-01	1.00E00
glomerular epithelial cell differentiation (GO:0072311)	27	1	.64	+	1.56	4.82E-01	1.00E00
regulation of secretion (GO:0051046)	163	6	3.87	+	1.55	2.94E-01	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	191	7	4.54	+	1.54	2.32E-01	1.00E00
growth (GO:0040007)	246	9	5.85	+	1.54	2.03E-01	1.00E00
developmental growth (GO:0048589)	246	9	5.85	+	1.54	2.03E-01	1.00E00
regulation of angiogenesis (GO:0045765)	82	3	1.95	+	1.54	4.51E-01	1.00E00
connective tissue development (GO:0061448)	137	5	3.26	+	1.54	3.90E-01	1.00E00
spermatogenesis (GO:0007283)	55	2	1.31	+	1.53	3.83E-01	1.00E00
lymph vessel development (GO:0001945)	55	2	1.31	+	1.53	3.83E-01	1.00E00
regulation of response to DNA damage stimulus (GO:2001020)	55	2	1.31	+	1.53	3.83E-01	1.00E00
regulation of cell adhesion (GO:0030155)	110	4	2.61	+	1.53	3.41E-01	1.00E00
endocytosis (GO:0006897)	221	8	5.25	+	1.52	2.62E-01	1.00E00
neural crest cell migration (GO:0001755)	83	3	1.97	+	1.52	4.54E-01	1.00E00
appendage development (GO:0048736)	83	3	1.97	+	1.52	4.54E-01	1.00E00
regulation of actin filament-based process (GO:0032970)	194	7	4.61	+	1.52	2.39E-01	1.00E00
regulation of organelle organization (GO:0033043)	472	17	11.21	+	1.52	9.33E-02	1.00E00
cellular component organization or biogenesis (GO:0071840)	3080	110	73.18	+	1.50	1.59E-05	9.69E-04
positive regulation of protein ubiquitination (GO:0031398)	28	1	.67	+	1.50	4.94E-01	1.00E00
antibiotic catabolic process (GO:0017001)	28	1	.67	+	1.50	4.94E-01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	28	1	.67	+	1.50	4.94E-01	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	28	1	.67	+	1.50	4.94E-01	1.00E00
drug transport (GO:0015893)	56	2	1.33	+	1.50	3.91E-01	1.00E00
regulation of protein kinase B signaling (GO:0051896)	28	1	.67	+	1.50	4.94E-01	1.00E00
brain morphogenesis (GO:0048854)	28	1	.67	+	1.50	4.94E-01	1.00E00
digestive tract morphogenesis (GO:0048546)	28	1	.67	+	1.50	4.94E-01	1.00E00
regulation of synapse organization (GO:0050807)	28	1	.67	+	1.50	4.94E-01	1.00E00
innate immune response-activating signal transduction (GO:0002758)	28	1	.67	+	1.50	4.94E-01	1.00E00
establishment of RNA localization (GO:0051236)	56	2	1.33	+	1.50	3.91E-01	1.00E00
RNA transport (GO:0050658)	56	2	1.33	+	1.50	3.91E-01	1.00E00
nucleic acid transport (GO:0050657)	56	2	1.33	+	1.50	3.91E-01	1.00E00
chromosome organization involved in meiotic cell cycle (GO:0070192)	28	1	.67	+	1.50	4.94E-01	1.00E00
regulation of cellular localization (GO:0060341)	84	3	2.00	+	1.50	4.58E-01	1.00E00
regulation of protein phosphorylation (GO:0001932)	422	15	10.03	+	1.50	1.45E-01	1.00E00
regulation of signal transduction (GO:0009966)	1047	37	24.88	+	1.49	2.23E-02	5.11E-01
peptidyl-serine phosphorylation (GO:0018105)	85	3	2.02	+	1.49	4.61E-01	1.00E00
nuclear transport (GO:0051169)	85	3	2.02	+	1.49	4.61E-01	1.00E00
nucleocytoplasmic transport (GO:0006913)	85	3	2.02	+	1.49	4.61E-01	1.00E00
regulation of cell communication (GO:0010646)	1196	42	28.42	+	1.48	1.48E-02	3.89E-01
developmental maturation (GO:0021700)	57	2	1.35	+	1.48	3.99E-01	1.00E00
regulation of signaling (GO:0023051)	1202	42	28.56	+	1.47	1.52E-02	3.97E-01
regulation of cellular catabolic process (GO:0031329)	172	6	4.09	+	1.47	3.13E-01	1.00E00
erythrocyte differentiation (GO:0030218)	86	3	2.04	+	1.47	4.65E-01	1.00E00
negative regulation of organelle organization (GO:0010639)	115	4	2.73	+	1.46	3.60E-01	1.00E00
muscle organ development (GO:0007517)	144	5	3.42	+	1.46	4.02E-01	1.00E00
nuclear division (GO:0000280)	116	4	2.76	+	1.45	3.63E-01	1.00E00
apoptotic cell clearance (GO:0043277)	29	1	.69	+	1.45	5.06E-01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	58	2	1.38	+	1.45	6.51E-01	1.00E00
DNA recombination (GO:0006310)	116	4	2.76	+	1.45	3.63E-01	1.00E00
synaptic vesicle localization (GO:0097479)	29	1	.69	+	1.45	5.06E-01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	29	1	.69	+	1.45	5.06E-01	1.00E00
posterior lateral line development (GO:0048916)	58	2	1.38	+	1.45	6.51E-01	1.00E00
nuclear-transcribed mRNA catabolic process (GO:0000956)	58	2	1.38	+	1.45	6.51E-01	1.00E00
peptidyl-serine modification (GO:0018209)	87	3	2.07	+	1.45	4.68E-01	1.00E00
embryonic appendage morphogenesis (GO:0035113)	29	1	.69	+	1.45	5.06E-01	1.00E00
energy reserve metabolic process (GO:0006112)	29	1	.69	+	1.45	5.06E-01	1.00E00
positive regulation of catabolic process (GO:0009896)	87	3	2.07	+	1.45	4.68E-01	1.00E00
positive regulation of JNK cascade (GO:0046330)	29	1	.69	+	1.45	5.06E-01	1.00E00
synaptic vesicle transport (GO:0048489)	29	1	.69	+	1.45	5.06E-01	1.00E00
regulation of dendrite development (GO:0050773)	29	1	.69	+	1.45	5.06E-01	1.00E00
fatty acid derivative metabolic process (GO:1901568)	29	1	.69	+	1.45	5.06E-01	1.00E00
erythrocyte homeostasis (GO:0034101)	87	3	2.07	+	1.45	4.68E-01	1.00E00
tube morphogenesis (GO:0035239)	465	16	11.05	+	1.45	1.65E-01	1.00E00
regulation of protein modification process (GO:0031399)	524	18	12.45	+	1.45	1.46E-01	1.00E00
protein acylation (GO:0043543)	88	3	2.09	+	1.43	4.72E-01	1.00E00
skeletal system development (GO:0001501)	323	11	7.67	+	1.43	2.67E-01	1.00E00
embryonic cranial skeleton morphogenesis (GO:0048701)	147	5	3.49	+	1.43	4.08E-01	1.00E00
regulation of response to stimulus (GO:0048583)	1414	48	33.60	+	1.43	1.52E-02	3.96E-01
protein ubiquitination (GO:0016567)	295	10	7.01	+	1.43	2.48E-01	1.00E00
myotube differentiation (GO:0014902)	59	2	1.40	+	1.43	6.54E-01	1.00E00
regulation of hemopoiesis (GO:1903706)	59	2	1.40	+	1.43	6.54E-01	1.00E00
male gamete generation (GO:0048232)	59	2	1.40	+	1.43	6.54E-01	1.00E00
blood vessel development (GO:0001568)	325	11	7.72	+	1.42	2.68E-01	1.00E00
gastrulation (GO:0007369)	207	7	4.92	+	1.42	3.54E-01	1.00E00
protein modification by small protein conjugation (GO:0032446)	326	11	7.75	+	1.42	2.69E-01	1.00E00
determination of left/right symmetry (GO:0007368)	208	7	4.94	+	1.42	3.55E-01	1.00E00
myeloid cell differentiation (GO:0030099)	149	5	3.54	+	1.41	4.12E-01	1.00E00
RNA splicing (GO:0008380)	179	6	4.25	+	1.41	3.30E-01	1.00E00
dephosphorylation (GO:0016311)	209	7	4.97	+	1.41	3.57E-01	1.00E00
iron ion transport (GO:0006826)	30	1	.71	+	1.40	5.17E-01	1.00E00
inositol phosphate biosynthetic process (GO:0032958)	30	1	.71	+	1.40	5.17E-01	1.00E00
protein processing (GO:0016485)	60	2	1.43	+	1.40	6.56E-01	1.00E00
sister chromatid cohesion (GO:0007062)	30	1	.71	+	1.40	5.17E-01	1.00E00
chondrocyte development (GO:0002063)	30	1	.71	+	1.40	5.17E-01	1.00E00
peptidyl-tyrosine modification (GO:0018212)	30	1	.71	+	1.40	5.17E-01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	30	1	.71	+	1.40	5.17E-01	1.00E00
regulation of cytokinesis (GO:0032465)	30	1	.71	+	1.40	5.17E-01	1.00E00
negative regulation of cell cycle (GO:0045786)	120	4	2.85	+	1.40	5.39E-01	1.00E00
vesicle docking involved in exocytosis (GO:0006904)	30	1	.71	+	1.40	5.17E-01	1.00E00
regulation of MAPK cascade (GO:0043408)	210	7	4.99	+	1.40	3.58E-01	1.00E00
regulation of calcium ion-dependent exocytosis (GO:0017158)	30	1	.71	+	1.40	5.17E-01	1.00E00
peptidyl-amino acid modification (GO:0018193)	360	12	8.55	+	1.40	2.24E-01	1.00E00
regulation of DNA metabolic process (GO:0051052)	90	3	2.14	+	1.40	4.79E-01	1.00E00
regulation of vasculature development (GO:1901342)	90	3	2.14	+	1.40	4.79E-01	1.00E00
angiogenesis (GO:0001525)	211	7	5.01	+	1.40	3.60E-01	1.00E00
localization of cell (GO:0051674)	545	18	12.95	+	1.39	1.56E-01	1.00E00
cell motility (GO:0048870)	545	18	12.95	+	1.39	1.56E-01	1.00E00
blood vessel morphogenesis (GO:0048514)	273	9	6.49	+	1.39	3.15E-01	1.00E00
notochord development (GO:0030903)	61	2	1.45	+	1.38	6.59E-01	1.00E00
epiboly (GO:0090504)	61	2	1.45	+	1.38	6.59E-01	1.00E00
cell projection assembly (GO:0030031)	244	8	5.80	+	1.38	3.93E-01	1.00E00
regulation of molecular function (GO:0065009)	795	26	18.89	+	1.38	1.23E-01	1.00E00
cell migration (GO:0016477)	520	17	12.36	+	1.38	1.90E-01	1.00E00
regulation of supramolecular fiber organization (GO:1902903)	153	5	3.64	+	1.38	4.21E-01	1.00E00
cellular nitrogen compound catabolic process (GO:0044270)	153	5	3.64	+	1.38	4.21E-01	1.00E00
supramolecular fiber organization (GO:0097435)	337	11	8.01	+	1.37	2.79E-01	1.00E00
convergent extension (GO:0060026)	123	4	2.92	+	1.37	5.44E-01	1.00E00
regulation of chromosome organization (GO:0033044)	123	4	2.92	+	1.37	5.44E-01	1.00E00
regulation of localization (GO:0032879)	740	24	17.58	+	1.36	1.41E-01	1.00E00
cyclic purine nucleotide metabolic process (GO:0052652)	31	1	.74	+	1.36	5.29E-01	1.00E00
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	31	1	.74	+	1.36	5.29E-01	1.00E00
reciprocal meiotic recombination (GO:0007131)	31	1	.74	+	1.36	5.29E-01	1.00E00
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	31	1	.74	+	1.36	5.29E-01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	31	1	.74	+	1.36	5.29E-01	1.00E00
regulation of cell cycle (GO:0051726)	589	19	13.99	+	1.36	1.73E-01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	31	1	.74	+	1.36	5.29E-01	1.00E00
mitotic nuclear division (GO:0140014)	62	2	1.47	+	1.36	6.61E-01	1.00E00
purine nucleoside metabolic process (GO:0042278)	31	1	.74	+	1.36	5.29E-01	1.00E00
peptidyl-cysteine modification (GO:0018198)	31	1	.74	+	1.36	5.29E-01	1.00E00
organophosphate catabolic process (GO:0046434)	62	2	1.47	+	1.36	6.61E-01	1.00E00
glycosyl compound metabolic process (GO:1901657)	62	2	1.47	+	1.36	6.61E-01	1.00E00
protein polymerization (GO:0051258)	31	1	.74	+	1.36	5.29E-01	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	31	1	.74	+	1.36	5.29E-01	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	217	7	5.16	+	1.36	3.70E-01	1.00E00
purine ribonucleoside metabolic process (GO:0046128)	31	1	.74	+	1.36	5.29E-01	1.00E00
response to light stimulus (GO:0009416)	125	4	2.97	+	1.35	5.47E-01	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	125	4	2.97	+	1.35	5.47E-01	1.00E00
lateral line development (GO:0048882)	94	3	2.23	+	1.34	4.94E-01	1.00E00
regulation of cellular component biogenesis (GO:0044087)	251	8	5.96	+	1.34	4.01E-01	1.00E00
embryonic skeletal system morphogenesis (GO:0048704)	157	5	3.73	+	1.34	4.31E-01	1.00E00
cell cycle checkpoint (GO:0000075)	63	2	1.50	+	1.34	6.64E-01	1.00E00
regulation of BMP signaling pathway (GO:0030510)	63	2	1.50	+	1.34	6.64E-01	1.00E00
sister chromatid segregation (GO:0000819)	63	2	1.50	+	1.34	6.64E-01	1.00E00
positive regulation of kinase activity (GO:0033674)	189	6	4.49	+	1.34	4.66E-01	1.00E00
heterocycle catabolic process (GO:0046700)	158	5	3.75	+	1.33	4.33E-01	1.00E00
establishment of localization in cell (GO:0051649)	158	5	3.75	+	1.33	4.33E-01	1.00E00
posttranscriptional regulation of gene expression (GO:0010608)	158	5	3.75	+	1.33	4.33E-01	1.00E00
activation of MAPK activity (GO:0000187)	32	1	.76	+	1.32	5.40E-01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	32	1	.76	+	1.32	5.40E-01	1.00E00
spindle organization (GO:0007051)	64	2	1.52	+	1.32	6.67E-01	1.00E00
positive regulation of stress-activated MAPK cascade (GO:0032874)	32	1	.76	+	1.32	5.40E-01	1.00E00
cyclic nucleotide biosynthetic process (GO:0009190)	32	1	.76	+	1.32	5.40E-01	1.00E00
histone lysine methylation (GO:0034968)	32	1	.76	+	1.32	5.40E-01	1.00E00
negative regulation of chromatin organization (GO:1905268)	32	1	.76	+	1.32	5.40E-01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	32	1	.76	+	1.32	5.40E-01	1.00E00
neurotransmitter receptor transport (GO:0099637)	32	1	.76	+	1.32	5.40E-01	1.00E00
