




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
endothelial cell morphogenesis (GO:0001886)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endothelial cell development (GO:0001885)	20	1	.39	+	2.57	3.33E-01	1.00E00
limb bud formation (GO:0060174)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
limb development (GO:0060173)	11	1	.21	+	4.67	2.06E-01	1.00E00
receptor recycling (GO:0001881)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
tRNA transcription by RNA polymerase III (GO:0042797)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
chromatin-mediated maintenance of transcription (GO:0048096)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
snRNA transcription by RNA polymerase III (GO:0042796)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of fear response (GO:1903365)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular protein catabolic process (GO:1903364)	32	0	.62	-	 < 0.01	1.00E00	1.00E00
regulation of cellular protein catabolic process (GO:1903362)	45	1	.88	+	1.14	5.88E-01	1.00E00
5S class rRNA transcription by RNA polymerase III (GO:0042791)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
protein localization to basolateral plasma membrane (GO:1903361)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of ephrin receptor signaling pathway (GO:1901187)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERBB signaling pathway (GO:1901186)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERBB signaling pathway (GO:1901185)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	34	0	.66	-	 < 0.01	1.00E00	1.00E00
posttranslational protein targeting to membrane, translocation (GO:0031204)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
response to yeast (GO:0001878)	23	1	.45	+	2.23	3.70E-01	1.00E00
regulation of epidermal growth factor-activated receptor activity (GO:0007176)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
signal complex assembly (GO:0007172)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
pronephros formation (GO:0072116)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA transcription by RNA polymerase II (GO:0042789)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pronephros morphogenesis (GO:0072114)	21	0	.41	-	 < 0.01	1.00E00	1.00E00
regulation of Golgi organization (GO:1903358)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
L-ornithine transmembrane transport (GO:1903352)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
cellular response to dopamine (GO:1903351)	29	0	.56	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-end processing (GO:0042780)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
response to dopamine (GO:1903350)	29	0	.56	-	 < 0.01	1.00E00	1.00E00
receptor guanylyl cyclase signaling pathway (GO:0007168)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
complement activation, lectin pathway (GO:0001867)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
signal transduction (GO:0007165)	3369	62	65.55	-	.95	6.86E-01	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	117	3	2.28	+	1.32	5.01E-01	1.00E00
negative regulation of cell adhesion (GO:0007162)	67	2	1.30	+	1.53	3.80E-01	1.00E00
cell-matrix adhesion (GO:0007160)	49	0	.95	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage (GO:0042779)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
glomerular capillary formation (GO:0072104)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage migration (GO:1905522)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glomerulus vasculature morphogenesis (GO:0072103)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage migration (GO:1905521)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of compound eye pigmentation (GO:0048076)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glomerulus morphogenesis (GO:0072102)	15	1	.29	+	3.43	2.65E-01	1.00E00
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	41	0	.80	-	 < 0.01	1.00E00	1.00E00
regulation of eye pigmentation (GO:0048073)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	42	0	.82	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction resulting in transcription (GO:0042772)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
signal transduction in response to DNA damage (GO:0042770)	11	1	.21	+	4.67	2.06E-01	1.00E00
neural crest cell migration involved in autonomic nervous system development (GO:1901166)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of trophoblast cell migration (GO:1901165)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of trophoblast cell migration (GO:1901163)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of posttranscriptional gene silencing (GO:0060149)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
primary amino compound biosynthetic process (GO:1901162)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
neuron cell-cell adhesion (GO:0007158)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of posttranscriptional gene silencing (GO:0060148)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	22	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of posttranscriptional gene silencing (GO:0060147)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
primary amino compound metabolic process (GO:1901160)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	154	2	3.00	-	.67	7.73E-01	1.00E00
cell adhesion (GO:0007155)	449	6	8.74	-	.69	4.86E-01	1.00E00
cell communication (GO:0007154)	3640	65	70.82	-	.92	5.13E-01	1.00E00
regulation of endopeptidase activity (GO:0052548)	92	3	1.79	+	1.68	4.32E-01	1.00E00
positive regulation of syncytium formation by plasma membrane fusion (GO:0060143)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of peptidase activity (GO:0052547)	96	3	1.87	+	1.61	4.41E-01	1.00E00
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
macrophage migration (GO:1905517)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
positive regulation of fertilization (GO:1905516)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
non-motile cilium assembly (GO:1905515)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
eye pigmentation (GO:0048069)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
DNA damage response, detection of DNA damage (GO:0042769)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein folding (GO:1903334)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of protein folding (GO:1903332)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid biosynthetic process (GO:0042761)	21	0	.41	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid catabolic process (GO:0042760)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex disassembly (GO:0032988)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of apoptotic process by virus (GO:0060139)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
female meiosis II (GO:0007147)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
female meiosis I (GO:0007144)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
female meiotic nuclear division (GO:0007143)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex I assembly (GO:0032981)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
neural tube closure (GO:0001843)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
male meiosis I (GO:0007141)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
male meiotic nuclear division (GO:0007140)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule organizing center (GO:1905508)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of motile cilium assembly (GO:1905505)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of motile cilium assembly (GO:1905503)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid biosynthetic process (GO:0042759)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid catabolic process (GO:0042758)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
drinking behavior (GO:0042756)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
eating behavior (GO:0042755)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of circadian rhythm (GO:0042754)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of circadian rhythm (GO:0042753)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of inner ear receptor cell differentiation (GO:2000980)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of circadian rhythm (GO:0042752)	28	0	.54	-	 < 0.01	1.00E00	1.00E00
post-embryonic eye morphogenesis (GO:0048050)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
response to radiation (GO:0009314)	161	3	3.13	-	.96	1.00E00	1.00E00
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
oligosaccharide catabolic process (GO:0009313)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane from inner side (GO:0032978)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
oligosaccharide metabolic process (GO:0009311)	31	0	.60	-	 < 0.01	1.00E00	1.00E00
amine catabolic process (GO:0009310)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
female germ-line stem cell population maintenance (GO:0036099)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of growth hormone secretion (GO:0060124)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of growth hormone secretion (GO:0060123)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament-based process (GO:0032970)	194	3	3.77	-	.79	1.00E00	1.00E00
inner ear receptor cell stereocilium organization (GO:0060122)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
vestibular receptor cell stereocilium organization (GO:0060121)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex assembly (GO:0007130)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
germ cell proliferation (GO:0036093)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	10	1	.19	+	5.14	1.91E-01	1.00E00
regulation of circadian sleep/wake cycle (GO:0042749)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein maturation (GO:1903319)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of pro-B cell differentiation (GO:2000975)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein maturation (GO:1903318)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of protein maturation (GO:1903317)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle, wakefulness (GO:0042746)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of pro-B cell differentiation (GO:2000973)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle (GO:0042745)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide catabolic process (GO:0042744)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide metabolic process (GO:0042743)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
amine biosynthetic process (GO:0009309)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
defense response to bacterium (GO:0042742)	110	2	2.14	-	.93	1.00E00	1.00E00
negative regulation of mRNA metabolic process (GO:1903312)	20	1	.39	+	2.57	3.33E-01	1.00E00
amine metabolic process (GO:0009308)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	403	6	7.84	-	.77	7.13E-01	1.00E00
protein secretion (GO:0009306)	38	0	.74	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	80	0	1.56	-	 < 0.01	4.10E-01	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	626	7	12.18	-	.57	1.82E-01	1.00E00
tRNA transcription (GO:0009304)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
rRNA transcription (GO:0009303)	9	1	.18	+	5.71	1.75E-01	1.00E00
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	13	1	.25	+	3.95	2.36E-01	1.00E00
synapsis (GO:0007129)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
snRNA transcription (GO:0009301)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
vestibular receptor cell development (GO:0060118)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
meiosis I (GO:0007127)	47	2	.91	+	2.19	2.40E-01	1.00E00
regulation of collagen biosynthetic process (GO:0032965)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
auditory receptor cell development (GO:0060117)	9	1	.18	+	5.71	1.75E-01	1.00E00
collagen biosynthetic process (GO:0032964)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
vestibular receptor cell morphogenesis (GO:0060116)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen metabolic process (GO:0032963)	30	0	.58	-	 < 0.01	1.00E00	1.00E00
D-serine catabolic process (GO:0036088)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
vestibular receptor cell differentiation (GO:0060114)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
mesonephros development (GO:0001823)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP-fucose import into Golgi lumen (GO:0036085)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
exogenous drug catabolic process (GO:0042738)	38	0	.74	-	 < 0.01	1.00E00	1.00E00
drug catabolic process (GO:0042737)	95	0	1.85	-	 < 0.01	2.68E-01	1.00E00
positive regulation of regulated secretory pathway (GO:1903307)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
negative regulation of regulated secretory pathway (GO:1903306)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
heme O biosynthetic process (GO:0048034)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of regulated secretory pathway (GO:1903305)	46	0	.89	-	 < 0.01	1.00E00	1.00E00
heme o metabolic process (GO:0048033)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
olfactory placode development (GO:0071698)	11	1	.21	+	4.67	2.06E-01	1.00E00
D-xylose metabolic process (GO:0042732)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
fibrinolysis (GO:0042730)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in extracellular region (GO:0071694)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of hexokinase activity (GO:1903300)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to extracellular region (GO:0071692)	39	0	.76	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate biosynthetic process (GO:0032959)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
cardiac muscle thin filament assembly (GO:0071691)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
inositol phosphate biosynthetic process (GO:0032958)	30	0	.58	-	 < 0.01	1.00E00	1.00E00
cardiac muscle myosin thick filament assembly (GO:0071690)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
inositol trisphosphate metabolic process (GO:0032957)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytokine production (GO:0001819)	43	0	.84	-	 < 0.01	1.00E00	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	191	3	3.72	-	.81	1.00E00	1.00E00
negative regulation of cytokine production (GO:0001818)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
regulation of cytokine production (GO:0001817)	88	0	1.71	-	 < 0.01	4.19E-01	1.00E00
cytokine production (GO:0001816)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
ligamentous ossification (GO:0036076)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
replacement ossification (GO:0036075)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of phagocytosis, engulfment (GO:0060100)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
perichondral ossification (GO:0036073)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
direct ossification (GO:0036072)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
N-glycan fucosylation (GO:0036071)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound biosynthetic process (GO:0042727)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	10	1	.19	+	5.14	1.91E-01	1.00E00
flavin-containing compound metabolic process (GO:0042726)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
striated muscle myosin thick filament assembly (GO:0071688)	11	1	.21	+	4.67	2.06E-01	1.00E00
thiamine-containing compound metabolic process (GO:0042723)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of mononuclear cell proliferation (GO:0032946)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of mononuclear cell proliferation (GO:0032945)	24	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	34	1	.66	+	1.51	4.91E-01	1.00E00
mononuclear cell proliferation (GO:0032943)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
secretion by tissue (GO:0032941)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
fucosylation (GO:0036065)	23	1	.45	+	2.23	3.70E-01	1.00E00
slit diaphragm assembly (GO:0036060)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
inositol lipid-mediated signaling (GO:0048017)	37	1	.72	+	1.39	5.19E-01	1.00E00
inositol phosphate-mediated signaling (GO:0048016)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-mediated signaling (GO:0048015)	34	1	.66	+	1.51	4.91E-01	1.00E00
Tie signaling pathway (GO:0048014)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ephrin receptor signaling pathway (GO:0048013)	16	1	.31	+	3.21	2.79E-01	1.00E00
neurotrophin TRK receptor signaling pathway (GO:0048011)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
mononuclear cell migration (GO:0071674)	37	0	.72	-	 < 0.01	1.00E00	1.00E00
SREBP signaling pathway (GO:0032933)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm assembly (GO:0036058)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor receptor signaling pathway (GO:0048008)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
eye photoreceptor cell fate commitment (GO:0042706)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of peptide antigen (GO:0048002)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
luteinizing hormone signaling pathway (GO:0042700)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of activin receptor signaling pathway (GO:0032926)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of activin receptor signaling pathway (GO:0032925)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
circadian regulation of gene expression (GO:0032922)	24	0	.47	-	 < 0.01	1.00E00	1.00E00
spermidine acetylation (GO:0032918)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide hormone processing (GO:0016486)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
polyamine acetylation (GO:0032917)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
protein processing (GO:0016485)	60	1	1.17	-	.86	1.00E00	1.00E00
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosolic transport (GO:0016482)	53	0	1.03	-	 < 0.01	6.28E-01	1.00E00
negative regulation of transcription by RNA polymerase III (GO:0016480)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
CD8-positive, alpha-beta T cell activation (GO:0036037)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to oxidative stress (GO:1902883)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta1 production (GO:0032905)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of response to oxidative stress (GO:1902882)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
TORC2 signaling (GO:0038203)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
TORC1 signaling (GO:0038202)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ovulation (GO:0030728)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
bile acid biosynthetic process (GO:0006699)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
ergosterol biosynthetic process (GO:0006696)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process (GO:0006695)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
steroid biosynthetic process (GO:0006694)	54	1	1.05	-	.95	1.00E00	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
prostanoid metabolic process (GO:0006692)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
leukotriene metabolic process (GO:0006691)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
icosanoid metabolic process (GO:0006690)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
optomotor response (GO:0071632)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear protein quality control by the ubiquitin-proteasome system (GO:0071630)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of amacrine cell differentiation (GO:1902871)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum stress-induced pre-emptive quality control (GO:0061857)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
P granule organization (GO:0030719)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
germ-line stem cell population maintenance (GO:0030718)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ganglioside catabolic process (GO:0006689)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid metabolic process (GO:0006687)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
sphingomyelin biosynthetic process (GO:0006686)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
sphingomyelin catabolic process (GO:0006685)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
protein localization to endosome (GO:0036010)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
sphingomyelin metabolic process (GO:0006684)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
galactosylceramide catabolic process (GO:0006683)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
galactosylceramide metabolic process (GO:0006681)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
glucosylceramide catabolic process (GO:0006680)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of granulocyte chemotaxis (GO:0071624)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of amacrine cell differentiation (GO:1902869)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of retina development in camera-type eye (GO:1902868)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
granulocyte chemotaxis (GO:0071621)	73	0	1.42	-	 < 0.01	6.52E-01	1.00E00
regulation of retina development in camera-type eye (GO:1902866)	10	1	.19	+	5.14	1.91E-01	1.00E00
ovarian follicle cell development (GO:0030707)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
glucosylceramide biosynthetic process (GO:0006679)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	82	3	1.60	+	1.88	2.21E-01	1.00E00
microtubule organizing center localization (GO:0061842)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
glucosylceramide metabolic process (GO:0006678)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
glycosylceramide metabolic process (GO:0006677)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
eggshell formation (GO:0030703)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ceramide metabolic process (GO:0006672)	47	0	.91	-	 < 0.01	1.00E00	1.00E00
phytosphingosine metabolic process (GO:0006671)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingosine metabolic process (GO:0006670)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	19	0	.37	-	 < 0.01	1.00E00	1.00E00
somatic recombination of immunoglobulin gene segments (GO:0016447)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of non-motile cilium assembly (GO:1902855)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
somatic hypermutation of immunoglobulin genes (GO:0016446)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
somatic diversification of immunoglobulins (GO:0016445)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
somatic cell DNA recombination (GO:0016444)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
